來源工作表,採樣時間,懸浮固體,硝酸鹽氮,生化需氧量,總磷
R-1,1993/7/26,3,0.38,0.39,28
R-1,1993/8/1,12,0.07,9.8,125
R-1,1993/9/1,,,,
R-1,1993/12/1,1,0.27,0.33,18
R-1,1994/1/1,2,0.28,0.4,19
R-1,1994/3/8,2,0.4,1.1,1.4
R-1,1994/4/5,17,0.26,0.77,51
R-1,1994/5/6,3,0.66,0.77,15
R-1,1994/8/29,3,0.66,0.47,56
R-1,1994/10/17,2,0.34,0.06,31
R-1,1994/11/28,1,0.31,0.27,88
R-1,1995/1/10,11,0.3,0.14,34
R-1,1995/3/13,1,0.43,0.14,16
R-1,1995/5/8,3,0.49,0.38,8.8
R-1,1995/7/24,2,0.42,0.57,13
R-1,1995/9/18,1,0.4,0.76,31
R-1,1995/11/6,2,0.28,1.1,65
R-1,1996/1/29,2,0.33,1.1,22
R-1,1996/3/18,4,0.19,1.1,15
R-1,1996/5/13,13,32,1,5.9
R-1,1996/7/22,2,0.39,0.72,21
R-1,1996/9/18,1,0.3,0.55,14
R-1,1996/11/25,1,0.25,1.1,13
R-1,1997/1/6,4,0.22,,24
R-1,1997/3/17,2,0.18,,23.7
R-1,1997/5/12,1,0.26,0.5,26.1
R-1,1997/7/21,7,0.22,0.2,21
R-1,1997/11/17,2,0.54,2.4,16
R-1,1998/1/5,1,0.41,0.3,14
R-1,1998/5/18,1,0.12,0.65,32
R-1,1998/8/1,10.9,0.33,0,32
R-1,1998/11/1,2.4,0.51,0.6,18
R-1,1999/1/1,6,0.56,0.36,16
R-1,1999/5/1,1.4,0.29,1.3,17
R-1,1999/7/1,0,0.51,0.32,9
R-1,1999/11/1,6.8,0.06,1.08,19
R-1,2000/2/1,14.8,0.28,1.22,56
R-1,2000/7/1,9.6,0.33,1.26,14
R-1,2000/9/1,7.2,0.49,1.89,2.5
R-1,2000/11/1,0,0.29,3.31,19
R-1,2001/2/1,2.4,0.26,1.75,21
R-1,2001/5/1,11,0.8,1.48,56
R-1,2001/8/1,3,0.42,1.8,26
R-1,2001/10/1,1,0.38,0.56,18
R-1,2002/3/1,1,0.14,1.43,14
R-1,2002/5/1,15.6,0.29,1.54,17
R-1,2002/8/1,28,0.23,1.58,27
R-1,2002/10/1,5.2,0.21,1.54,31
R-1,2003/4/1,4,0.77,3.05,16
R-1,2003/6/1,0.4,0.46,1.66,29
R-1,2003/8/1,1,0.33,2.82,26
R-1,2003/10/1,10,0.35,0.91,29
R-1,2004/2/1,2,0.34,0.4,2
R-1,2004/5/1,2.6,0.34,1.64,28
R-1,2004/9/1,72,0.73,1.05,16
R-1,2004/11/1,3,0.34,2.87,25
R-1,2005/5/1,67.8,0.39,2.04,170
R-1,2005/8/1,3.9,2.22,0.99,22
R-1,2005/10/1,1.6,1.12,0.64,22
R-1,2005/11/1,5.4,0.86,0.48,36
R-1,2006/3/1,0.8,1.44,4.3,24
R-1,2006/6/1,0.27,1.04,2.4,23
R-1,2006/8/1,8.3,4.29,0.74,63
R-1,2006/10/1,1.3,0.59,0.25,25
R-1,2007/2/1,6,1.23,0.25,20
R-1,2007/5/1,12.9,1.54,1.35,4
R-1,2007/9/1,26.9,4.92,0.25,10
R-1,2007/10/1,22.6,0.94,0.25,12
R-1,2008/4/1,0.27,0.04,1.7,15
R-1,2008/7/1,0.27,0.2,0.25,17
R-1,2008/9/1,0.27,0.13,0.25,39
R-1,2008/10/1,5.4,0.43,0.85,21
R-1,2009/6/1,0.2,1.51,1.2,19
R-1,2009/7/1,,,,
R-1,2009/9/1,0.8,0.15,0.5,26
R-1,2009/10/1,1.3,0.21,1.4,25
R-1,2010/3/1,0.2,0.04,1.6,25
R-1,2010/5/1,0.2,0.012,0.5,23
R-1,2010/7/1,133,0.15,1.5,31
R-1,2010/10/1,1.4,0.1,0.5,20
R-1,2011/9/1,2.2,0,1.3,21
R-1,2011/11/1,1.1,0.31,0.5,20
R-1,2012/2/1,0.7,0.13,1.6,11
R-1,2012/4/1,0,0.09,0,17
R-1,2013/3/1,1.7,0.02,0,18
R-1,2013/6/12,0.9,0.86,1.6,30
R-1,2013/9/16,34.2,0.16,0,33
R-1,2013/10/1,1.2,0.12,0,19
R-1,2014/4/22,1.5,0.02,0.5,16
R-1,2014/6/17,46.9,0.21,1.4,11
R-1,2014/8/19,2.3,0.15,1.4,19
R-1,2014/10/15,2.5,0.06,0.5,39
R-1,2015/3/3,12,0.02,0.8,0.015
R-1,2015/5/14,0.6,0.11,0.9,14
R-1,2015/8/19,3.8,0.31,0.9,22
R-1,2015/10/20,3.8,0.16,0.5,136
R-1,2016/4/28,2.1,0.28,0.5,40
R-1,2016/6/24,3.2,0.21,0.4,17
R-1,2016/8/23,2,0.1,0.8,19
R-1,2016/10/27,0.6,0.17,0.4,21
R-1,2017/3/28,1.4,0.22,1,19
R-1,2017/6/27,13.6,0.78,6.3,40
R-1,2017/8/23,0.6,0.14,1,23
R-1,2017/10/17,0.6,0.31,1,37
R-1,2018/4/11,0.6,0.08,1.1,23
R-1,2018/6/13,1.6,0.07,0.5,21
R-1,2018/8/16,6.7,0.12,5.9,22
R-1,2018/10/16,3,0.13,2.7,23
R-1,2019/4/17,2.3,0.2,1.3,29
R-1,2019/6/25,4,0.24,1,25
R-1,2019/8/22,6.7,0.35,0.5,28
R-1,2019/10/23,2.2,0.11,0,26
R-1,2020/2/14,2.2,0.11,1,22
R-1,2020/6/11,0.6,0.19,2.1,23
R-1,2020/8/6,1.8,0.23,1,20
R-1,2020/11/5,0.6,0.12,1,22
R-1,2021/2/25,0.6,0.15,1,27
R-1,2021/5/28,0.6,0.12,1,16
R-1,2021/7/29,3.8,0.21,1.05,27
R-1,2021/10/28,1.6,0.2,1,25
R-1,2022/4/19,11.4,0.23,1,24
R-1,2022/6/7,17.3,0.4,1,29
R-1,2022/8/9,6.3,0.21,1,26
R-1,2022/10/25,0.6,0.63,1,14
R-1,2023/3/28,5.4,0.14,1,13
R-1,2023/6/1,0.6,0.31,1,21
R-1,2023/9/12,1.9,0.43,1.1,26
R-1,2023/12/6,1.4,0.16,1,31
R-1,2024/3/26,0.6,0.08,1,27
R-1,2024/6/12,3.4,0.38,1.4,26
R-1,2024/9/10,0.6,0.17,1,28
R-1,2024/12/4,0.6,0.2,1,23
